Ticker,Company Name,Listing Board
NISP,Bank OCBC NISP Tbk.,Main
NOBU,Bank Nationalnobu Tbk.,Main
PADI,Minna Padi Investama Sekuritas,Main
PALM,Provident Investasi Bersama Tb,Main
PANS,Panin Sekuritas Tbk.,Main
PGAS,Perusahaan Gas Negara (Persero,Main
PNBN,Bank Pan Indonesia Tbk,Main
PNIN,Paninvest Tbk.,Main
PNLF,Panin Financial Tbk.,Main
PTBA,Bukit Asam (Persero) Tbk.,Main
PTPP,PP (Persero) Tbk.,Main
PTRO,Petrosea Tbk.,Main
PWON,Pakuwon Jati Tbk.,Main
RAJA,Rukun Raharja Tbk.,Main
RALS,Ramayana Lestari Sentosa Tbk.,Main
SAME,Sarana Meditama Metropolitan T,Main
SCMA,Surya Citra Media Tbk.,Main
SGRO,Prime Agri Resources Tbk.,Main
SIDO,Industri Jamu dan Farmasi Sido,Main
SILO,Siloam International Hospitals,Main
SIMP,Salim Ivomas Pratama Tbk.,Main
SMAR,Sinar Mas Agro Resources and T,Main
SMBR,Semen Baturaja (Persero) Tbk.,Main
SMDR,Samudera Indonesia  Tbk.,Main
SMGR,Semen Indonesia (Persero) Tbk.,Main
SMRA,Summarecon Agung Tbk.,Main
SMSM,Selamat Sempurna Tbk.,Main
SRTG,Saratoga Investama Sedaya Tbk.,Main
SSIA,Surya Semesta Internusa Tbk.,Main
SSMS,Sawit Sumbermas Sarana Tbk.,Main
TBIG,Tower Bersama Infrastructure T,Main
TBLA,Tunas Baru Lampung Tbk.,Main
TINS,TIMAH (Persero) Tbk.,Main
TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,Main
TLKM,Telkom Indonesia (Persero) Tbk,Main
TMAS,Temas Tbk.,Main
TOBA,TBS Energi Utama Tbk.,Main
TOTL,Total Bangun Persada Tbk.,Main
TOTO,Surya Toto Indonesia Tbk.,Main
TOWR,Sarana Menara Nusantara Tbk.,Main
TPIA,Chandra Asri Pacific Tbk.,Main
TPMA,Trans Power Marine Tbk.,Main
TRIM,Trimegah Sekuritas Indonesia T,Main
TSPC,Tempo Scan Pacific Tbk.,Main
ULTJ,Ultrajaya Milk Industry & Trad,Main
UNIC,Unggul Indah Cahaya Tbk.,Main
UNTR,United Tractors Tbk.,Main
UNVR,Unilever Indonesia Tbk.,Main
VICO,Victoria Investama Tbk.,Main
WIIM,Wismilak Inti Makmur Tbk.,Main
WINS,Wintermar Offshore Marine Tbk.,Main
WTON,Wijaya Karya Beton Tbk.,Main
SHIP,Sillo Maritime Perdana Tbk.,Main
POWR,Cikarang Listrindo Tbk.,Main
PRDA,Prodia Widyahusada Tbk.,Main
BRIS,Bank Syariah Indonesia (Perser,Main
PORT,Nusantara Pelabuhan Handal Tbk,Main
CARS,Industri dan Perdagangan Bintr,Main
CLEO,Sariguna Primatirta Tbk.,Main
WOOD,Integra Indocabinet Tbk.,Main
HRTA,Hartadinata Abadi Tbk.,Main
MARK,Mark Dynamics Indonesia Tbk.,Main
PSSI,IMC Pelita Logistik Tbk.,Main
MORA,Ekamas Mora Republik Tbk.,Main
PBID,Panca Budi Idaman Tbk.,Main
IPCM,Jasa Armada Indonesia Tbk.,Main
